A̱o y Clase,Desaceleracion,0-40,40-80,80,Autopista
1987-2b,0.015,0.789,1.412,1.33,0.73
1987-3,0.015,0.789,1.413,1.33,0.731
1987-4,0.017,0.675,1.059,1.165,0.6
1987-5,0.016,0.76,1.324,1.289,0.703
1987-6,0.014,0.839,1.538,1.406,0.812
1987-7,0.012,0.979,1.893,1.619,1.005
1987-8a,0.011,1.109,2.238,1.826,1.151
1987-8b,0.009,1.233,2.562,2.033,1.283
1988-2b,0.013,0.498,0.68,0.569,0.357
1988-3,0.016,0.566,0.831,0.664,0.406
1988-4,0.017,0.601,0.819,0.751,0.423
1988-5,0.016,0.577,0.862,0.689,0.421
1988-6,0.015,0.57,0.868,0.669,0.418
1988-7,0.014,0.578,0.93,0.683,0.439
1988-8a,0.011,0.587,1.069,0.691,0.472
1988-8b,0.009,0.597,1.199,0.703,0.5
1989-2b,0.014,0.563,0.872,0.66,0.422
1989-3,0.016,0.564,0.802,0.664,0.397
1989-4,0.017,0.6,0.817,0.748,0.421
1989-5,0.016,0.576,0.848,0.686,0.416
1989-6,0.014,0.576,0.896,0.681,0.429
1989-7,0.015,0.576,0.886,0.682,0.426
1989-8a,0.012,0.59,1.054,0.698,0.47
1989-8b,0.008,0.601,1.215,0.709,0.504
1990-2b,0.013,0.498,0.672,0.571,0.356
1990-3,0.016,0.574,0.82,0.675,0.404
1990-4,0.016,0.582,0.813,0.688,0.405
1990-5,0.016,0.586,0.829,0.699,0.413
1990-6,0.014,0.585,0.903,0.685,0.432
1990-7,0.014,0.587,0.912,0.69,0.436
1990-8a,0.011,0.603,1.11,0.709,0.485
1990-8b,0.008,0.615,1.243,0.725,0.513
1991-2b,0.019,0.411,0.449,0.38,0.242
1991-3,0.015,0.507,0.549,0.42,0.277
1991-4,0.013,0.525,0.762,0.531,0.379
1991-5,0.019,0.481,0.506,0.42,0.268
1991-6,0.014,0.516,0.664,0.479,0.336
1991-7,0.013,0.528,0.789,0.545,0.391
1991-8a,0.009,0.552,1.105,0.705,0.499
1991-8b,0.007,0.564,1.276,0.792,0.551
1992-2b,0.018,0.362,0.398,0.347,0.222
1992-3,0.014,0.492,0.531,0.409,0.272
1992-4,0.015,0.506,0.547,0.42,0.277
1992-5,0.016,0.511,0.527,0.419,0.275
1992-6,0.014,0.519,0.688,0.493,0.346
1992-7,0.013,0.528,0.76,0.533,0.382
1992-8a,0.009,0.554,1.12,0.715,0.505
1992-8b,0.007,0.566,1.269,0.792,0.548
1993-2b,0.019,0.445,0.484,0.398,0.256
1993-3,0.016,0.492,0.531,0.414,0.272
1993-4,0.015,0.509,0.59,0.442,0.3
1993-5,0.016,0.507,0.539,0.419,0.277
1993-6,0.014,0.516,0.659,0.48,0.336
1993-7,0.014,0.519,0.711,0.505,0.359
1993-8a,0.009,0.552,1.122,0.713,0.506
1993-8b,0.007,0.565,1.279,0.795,0.551
1994-2b,0.021,0.645,0.608,0.425,0.303
1994-3,0.025,0.723,0.717,0.492,0.336
1994-4,0.026,0.765,0.766,0.522,0.35
1994-5,0.027,0.791,0.782,0.557,0.365
1994-6,0.025,0.759,0.874,0.56,0.391
1994-7,0.022,0.72,1.013,0.577,0.429
1994-8a,0.014,0.634,1.397,0.646,0.514
1994-8b,0.011,0.604,1.516,0.665,0.536
1995-2b,0.024,0.661,0.623,0.446,0.3
1995-3,0.026,0.775,0.769,0.528,0.353
1995-4,0.026,0.769,0.79,0.532,0.36
1995-5,0.026,0.783,0.836,0.564,0.382
1995-6,0.024,0.755,0.9,0.559,0.396
1995-7,0.023,0.734,0.988,0.576,0.423
1995-8a,0.014,0.634,1.389,0.642,0.511
1995-8b,0.011,0.6,1.515,0.66,0.534
1996-2b,0.025,0.672,0.652,0.459,0.309
1996-3,0.026,0.758,0.774,0.521,0.352
1996-4,0.025,0.747,0.838,0.536,0.375
1996-5,0.025,0.766,0.874,0.574,0.397
1996-6,0.024,0.729,0.948,0.561,0.41
1996-7,0.021,0.705,1.065,0.585,0.442
1996-8a,0.014,0.624,1.415,0.642,0.516
1996-8b,0.011,0.6,1.53,0.665,0.537
1997-2b,0.022,0.598,0.55,0.403,0.269
1997-3,0.025,0.762,0.786,0.528,0.36
1997-4,0.027,0.79,0.771,0.535,0.354
1997-5,0.027,0.81,0.797,0.575,0.375
1997-6,0.025,0.773,0.841,0.551,0.378
1997-7,0.024,0.756,0.91,0.561,0.399
1997-8a,0.016,0.637,1.337,0.623,0.5
1997-8b,0.012,0.593,1.505,0.651,0.531
1998-2b,0.019,0.168,0.217,0.238,0.13
1998-3,0.025,0.291,0.414,0.355,0.199
1998-4,0.025,0.296,0.423,0.361,0.201
1998-5,0.027,0.288,0.408,0.37,0.201
1998-6,0.025,0.295,0.424,0.364,0.203
1998-7,0.025,0.304,0.464,0.377,0.219
1998-8a,0.015,0.397,0.823,0.455,0.319
1998-8b,0.011,0.432,0.954,0.488,0.348
1999-2b,0.023,0.18,0.231,0.274,0.14
1999-3,0.027,0.28,0.386,0.364,0.195
1999-4,0.027,0.286,0.396,0.37,0.198
1999-5,0.027,0.286,0.401,0.37,0.199
1999-6,0.027,0.285,0.402,0.377,0.202
1999-7,0.026,0.295,0.439,0.382,0.214
1999-8a,0.015,0.401,0.84,0.463,0.323
1999-8b,0.011,0.438,0.974,0.493,0.353
2000-2b,0.022,0.195,0.247,0.274,0.147
2000-3,0.027,0.282,0.39,0.365,0.196
2000-4,0.027,0.287,0.403,0.37,0.199
2000-5,0.027,0.288,0.408,0.371,0.201
2000-6,0.027,0.285,0.401,0.375,0.201
2000-7,0.025,0.304,0.471,0.387,0.226
2000-8a,0.017,0.387,0.784,0.451,0.312
2000-8b,0.011,0.438,0.972,0.493,0.353
2001-2b,0.023,0.149,0.196,0.255,0.121
2001-3,0.027,0.28,0.386,0.362,0.195
2001-4,0.027,0.286,0.399,0.369,0.198
2001-5,0.027,0.287,0.403,0.37,0.199
2001-6,0.026,0.293,0.431,0.383,0.214
2001-7,0.026,0.293,0.431,0.38,0.212
2001-8a,0.014,0.41,0.871,0.47,0.331
2001-8b,0.011,0.437,0.969,0.492,0.352
2002-2b,0.023,0.15,0.194,0.258,0.121
2002-3,0.027,0.265,0.352,0.366,0.189
2002-4,0.029,0.276,0.372,0.378,0.194
2002-5,0.029,0.276,0.372,0.378,0.194
2002-6,0.029,0.275,0.373,0.385,0.197
2002-7,0.027,0.293,0.434,0.394,0.219
2002-8a,0.017,0.386,0.786,0.457,0.313
2002-8b,0.011,0.432,0.956,0.491,0.349
2003-2b,0.019,0.131,0.169,0.221,0.106
2003-3,0.024,0.242,0.325,0.327,0.171
2003-4,0.025,0.252,0.342,0.339,0.176
2003-5,0.025,0.252,0.342,0.339,0.176
2003-6,0.025,0.251,0.344,0.344,0.179
2003-7,0.024,0.268,0.405,0.354,0.201
2003-8a,0.015,0.354,0.729,0.415,0.287
2003-8b,0.01,0.393,0.872,0.445,0.317
2004-2b,0.02,0.134,0.172,0.225,0.107
2004-3,0.025,0.24,0.321,0.331,0.171
2004-4,0.025,0.249,0.336,0.341,0.176
2004-5,0.025,0.249,0.336,0.341,0.176
2004-6,0.025,0.249,0.339,0.345,0.178
2004-7,0.024,0.264,0.391,0.354,0.197
2004-8a,0.016,0.346,0.7,0.411,0.281
2004-8b,0.01,0.388,0.856,0.442,0.313
2005-2b,0.021,0.13,0.172,0.231,0.106
2005-3,0.024,0.24,0.324,0.323,0.171
2005-4,0.025,0.254,0.347,0.337,0.177
2005-5,0.025,0.254,0.347,0.337,0.177
2005-6,0.025,0.254,0.352,0.341,0.18
2005-7,0.024,0.272,0.414,0.353,0.203
2005-8a,0.014,0.355,0.732,0.415,0.287
2005-8b,0.01,0.391,0.866,0.444,0.316
2006-2b,0.022,0.138,0.183,0.247,0.112
2006-3,0.025,0.24,0.322,0.326,0.171
2006-4,0.025,0.253,0.345,0.339,0.177
2006-5,0.025,0.253,0.345,0.339,0.177
2006-6,0.025,0.253,0.349,0.342,0.18
2006-7,0.024,0.27,0.409,0.353,0.201
2006-8a,0.015,0.353,0.725,0.414,0.286
2006-8b,0.01,0.392,0.867,0.444,0.316
2007-2b,0.003,0.008,0.011,0.011,0.007
2007-3,0.001,0.011,0.012,0.01,0.007
2007-4,0.001,0.011,0.012,0.01,0.007
2007-5,0.001,0.011,0.012,0.01,0.007
2007-6,0.001,0.011,0.013,0.01,0.007
2007-7,0.001,0.012,0.016,0.011,0.008
2007-8a,0.001,0.017,0.027,0.014,0.011
2007-8b,0.001,0.019,0.031,0.016,0.012
2008-2b,0.003,0.008,0.01,0.011,0.006
2008-3,0.002,0.01,0.011,0.01,0.006
2008-4,0.001,0.01,0.011,0.01,0.006
2008-5,0.001,0.01,0.011,0.01,0.006
2008-6,0.001,0.011,0.011,0.01,0.006
2008-7,0.001,0.011,0.012,0.011,0.007
2008-8a,0.001,0.015,0.022,0.013,0.01
2008-8b,0.001,0.018,0.03,0.015,0.012
2009-2b,0.002,0.007,0.01,0.009,0.006
2009-3,0.001,0.011,0.012,0.01,0.007
2009-4,0.001,0.011,0.013,0.01,0.007
2009-5,0.001,0.011,0.013,0.01,0.007
2009-6,0.001,0.011,0.013,0.01,0.007
2009-7,0.001,0.012,0.016,0.011,0.008
2009-8a,0.001,0.017,0.027,0.014,0.012
2009-8b,0.001,0.019,0.032,0.016,0.012
2010-2b,0.002,0.006,0.008,0.008,0.005
2010-3,0.001,0.009,0.011,0.009,0.006
2010-4,0.001,0.01,0.012,0.009,0.006
2010-5,0.001,0.01,0.012,0.009,0.006
2010-6,0.001,0.01,0.012,0.009,0.006
2010-7,0.001,0.011,0.014,0.01,0.007
2010-8a,0.001,0.016,0.025,0.014,0.011
2010-8b,0.001,0.017,0.029,0.015,0.012
2011-2b,0.002,0.007,0.009,0.009,0.006
2011-3,0.001,0.009,0.011,0.009,0.006
2011-4,0.001,0.01,0.011,0.009,0.006
2011-5,0.001,0.01,0.011,0.009,0.006
2011-6,0.001,0.01,0.011,0.009,0.006
2011-7,0.001,0.011,0.013,0.01,0.007
2011-8a,0.001,0.015,0.024,0.013,0.011
2011-8b,0.001,0.017,0.029,0.014,0.012
2012-2b,0.002,0.007,0.009,0.009,0.006
2012-3,0.001,0.009,0.011,0.009,0.006
2012-4,0.001,0.009,0.011,0.009,0.006
2012-5,0.001,0.009,0.011,0.009,0.006
2012-6,0.001,0.009,0.011,0.009,0.006
2012-7,0.001,0.01,0.012,0.009,0.006
2012-8a,0.001,0.014,0.022,0.012,0.01
2012-8b,0.001,0.017,0.028,0.014,0.011
2013-2b,0.002,0.007,0.009,0.009,0.005
2013-3,0.001,0.009,0.01,0.008,0.006
2013-4,0.001,0.009,0.01,0.008,0.006
2013-5,0.001,0.009,0.01,0.008,0.006
2013-6,0.001,0.009,0.01,0.008,0.006
2013-7,0.001,0.009,0.011,0.009,0.006
2013-8a,0.001,0.012,0.019,0.011,0.009
2013-8b,0.001,0.015,0.024,0.012,0.01
2014-2b,0.002,0.004,0.006,0.006,0.003
2014-3,0.001,0.006,0.006,0.006,0.003
2014-4,0.001,0.006,0.006,0.006,0.003
2014-5,0.001,0.006,0.006,0.006,0.003
2014-6,0.001,0.006,0.006,0.006,0.004
2014-7,0.001,0.006,0.007,0.006,0.004
2014-8a,0.001,0.008,0.013,0.007,0.006
2014-8b,0.001,0.01,0.017,0.009,0.007
2015-2b,0.002,0.004,0.006,0.006,0.003
2015-3,0.001,0.006,0.006,0.006,0.003
2015-4,0.001,0.006,0.006,0.006,0.003
2015-5,0.001,0.006,0.006,0.006,0.003
2015-6,0.001,0.006,0.006,0.006,0.004
2015-7,0.001,0.006,0.007,0.006,0.004
2015-8a,0.001,0.008,0.013,0.007,0.006
2015-8b,0.001,0.01,0.017,0.009,0.007
2016-2b,0.002,0.004,0.006,0.006,0.003
2016-3,0.001,0.006,0.006,0.006,0.003
2016-4,0.001,0.006,0.006,0.006,0.003
2016-5,0.001,0.006,0.006,0.006,0.003
2016-6,0.001,0.006,0.006,0.006,0.004
2016-7,0.001,0.006,0.007,0.006,0.004
2016-8a,0.001,0.008,0.013,0.007,0.006
2016-8b,0.001,0.01,0.017,0.009,0.007
2017-2b,0.002,0.004,0.005,0.006,0.003
2017-3,0.001,0.006,0.006,0.006,0.003
2017-4,0.001,0.006,0.006,0.006,0.003
2017-5,0.001,0.006,0.006,0.006,0.003
2017-6,0.001,0.006,0.006,0.006,0.004
2017-7,0.001,0.006,0.007,0.006,0.004
2017-8a,0.001,0.008,0.013,0.007,0.006
2017-8b,0.001,0.01,0.017,0.009,0.007
2018-2b,0.002,0.004,0.005,0.006,0.003
2018-3,0.001,0.006,0.006,0.006,0.003
2018-4,0.001,0.006,0.006,0.006,0.003
2018-5,0.001,0.006,0.006,0.006,0.003
2018-6,0.001,0.006,0.006,0.006,0.004
2018-7,0.001,0.006,0.007,0.006,0.004
2018-8a,0.001,0.008,0.013,0.007,0.006
2018-8b,0.001,0.01,0.017,0.009,0.007
2019-2b,0.002,0.004,0.005,0.006,0.003
2019-3,0.001,0.006,0.006,0.006,0.003
2019-4,0.001,0.006,0.006,0.006,0.003
2019-5,0.001,0.006,0.006,0.006,0.003
2019-6,0.001,0.006,0.006,0.006,0.004
2019-7,0.001,0.006,0.007,0.006,0.004
2019-8a,0.001,0.008,0.013,0.007,0.006
2019-8b,0.001,0.01,0.017,0.009,0.007
